"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01080","CHAMPDOR CORCELLES","01110","CHAMPDOR CORCELLES","CORCELLES","46.03708602229962,5.588248442804457","46.03708602229962","5.588248442804457"
"01081","CHAMPFROMIER","01410","CHAMPFROMIER",,"46.22637885527183,5.8215970055907285","46.22637885527183","5.8215970055907285"
"01082","CHANAY","01420","CHANAY",,"46.002409323583805,5.767405313905362","46.002409323583805","5.767405313905362"
"01083","CHANEINS","01990","CHANEINS",,"46.09472889120165,4.851659149926531","46.09472889120165","4.851659149926531"
"01084","CHANOZ CHATENAY","01400","CHANOZ CHATENAY",,"46.18684635201391,5.030189600059167","46.18684635201391","5.030189600059167"
"01085","LA CHAPELLE DU CHATELARD","01240","LA CHAPELLE DU CHATELARD",,"46.06825670717359,5.01740182027816","46.06825670717359","5.01740182027816"
"01087","CHARIX","01130","CHARIX",,"46.189344391958386,5.677289462754503","46.189344391958386","5.677289462754503"
"01088","CHARNOZ SUR AIN","01800","CHARNOZ SUR AIN",,"45.874170449310206,5.225667866776201","45.874170449310206","5.225667866776201"
"01089","CHATEAU GAILLARD","01500","CHATEAU GAILLARD",,"45.97234062120381,5.309075076934354","45.97234062120381","5.309075076934354"
"01090","CHATENAY","01320","CHATENAY",,"46.02763511834617,5.208542435935528","46.02763511834617","5.208542435935528"
"01092","CHATILLON LA PALUD","01320","CHATILLON LA PALUD",,"45.97569593392073,5.246017755504404","45.97569593392073","5.246017755504404"
"01093","CHATILLON SUR CHALARONNE","01400","CHATILLON SUR CHALARONNE",,"46.12644416906889,4.954944578687101","46.12644416906889","4.954944578687101"
"01094","CHAVANNES SUR REYSSOUZE","01190","CHAVANNES SUR REYSSOUZE",,"46.44027008238932,5.006926356827238","46.44027008238932","5.006926356827238"
"01095","NIVIGNE ET SURAN","01250","NIVIGNE ET SURAN","CHAVANNES SUR SURAN","46.282364555491164,5.432275634931708","46.282364555491164","5.432275634931708"
"01095","NIVIGNE ET SURAN","01250","NIVIGNE ET SURAN","GERMAGNAT","46.282364555491164,5.432275634931708","46.282364555491164","5.432275634931708"
"01096","CHAVEYRIAT","01660","CHAVEYRIAT",,"46.19913759584505,5.053430216025798","46.19913759584505","5.053430216025798"
"01098","CHAZEY BONS","01300","CHAZEY BONS",,"45.80074733172502,5.667802899373546","45.80074733172502","5.667802899373546"
"01098","CHAZEY BONS","01510","CHAZEY BONS","PUGIEU","45.80074733172502,5.667802899373546","45.80074733172502","5.667802899373546"
"01099","CHAZEY SUR AIN","01150","CHAZEY SUR AIN",,"45.89368094811379,5.260373830172193","45.89368094811379","5.260373830172193"
"01100","CHEIGNIEU LA BALME","01510","CHEIGNIEU LA BALME",,"45.823265157911905,5.602232148135416","45.823265157911905","5.602232148135416"
"01101","CHEVILLARD","01430","CHEVILLARD",,"46.10873868199795,5.581459052344717","46.10873868199795","5.581459052344717"
"01102","CHEVROUX","01190","CHEVROUX",,"46.382207789981955,4.959816425583531","46.382207789981955","4.959816425583531"
"01103","CHEVRY","01170","CHEVRY",,"46.284098002862265,6.047410730141946","46.284098002862265","6.047410730141946"
"01104","CHEZERY FORENS","01200","CHEZERY FORENS",,"46.224423434735236,5.869274148619446","46.224423434735236","5.869274148619446"
"01104","CHEZERY FORENS","01410","CHEZERY FORENS",,"46.224423434735236,5.869274148619446","46.224423434735236","5.869274148619446"
"01105","CIVRIEUX","01390","CIVRIEUX",,"45.920773703116524,4.889539388273697","45.920773703116524","4.889539388273697"
"01106","CIZE","01250","CIZE",,"46.20145783972819,5.44997623880543","46.20145783972819","5.44997623880543"
"01107","CLEYZIEU","01230","CLEYZIEU",,"45.90273047159248,5.43174499563149","45.90273047159248","5.43174499563149"
"01108","COLIGNY","01270","COLIGNY",,"46.388863369942584,5.335166044059247","46.388863369942584","5.335166044059247"
"01109","COLLONGES","01550","COLLONGES",,"46.13966648226629,5.900689913688231","46.13966648226629","5.900689913688231"
"01110","COLOMIEU","01300","COLOMIEU",,"45.73383472592437,5.626868679304389","45.73383472592437","5.626868679304389"
"01111","CONAND","01230","CONAND",,"45.883554509844316,5.478693149177411","45.883554509844316","5.478693149177411"
"01112","CONDAMINE","01430","CONDAMINE",,"46.10562142311599,5.559609289716706","46.10562142311599","5.559609289716706"
