Libellé du site,Caractéristique du site,Adresse,Complément d'adresse,Lieu dit,Code Postal,Localité,Code INSEE de la commune,Pays
PREUILLY SUR CLAISE BP,BUREAU DE POSTE,PLACE DE L HOTEL DE VILLE,,0,37290,PREUILLY SUR CLAISE,37189,FRANCE
SAINT FLOVIER AP,AGENCE POSTALE,2 PLACE DU 8 MAI,,0,37600,ST FLOVIER,37218,FRANCE
SAINT HIPPOLYTE AP,AGENCE POSTALE,1 PLACE DU 27 AOUT 1944,MAIRIE,0,37600,ST HIPPOLYTE,37221,FRANCE
SAINT SENOCH AP,AGENCE POSTALE,2 PLACE DE LA MAIRIE,,0,37600,ST SENOCH,37238,FRANCE
VERNEUIL SUR INDRE AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,37600,VERNEUIL SUR INDRE,37269,FRANCE
VILLELOIN COULANGE AP,AGENCE POSTALE,16 RUE BERNARD DE LATTRE,,0,37460,VILLELOIN COULANGE,37277,FRANCE
LIGUEIL AP,AGENCE POSTALE,39 RUE A BRIAND,,0,37240,LIGUEIL,37130,FRANCE
GENILLE AP,AGENCE POSTALE,1 PLACE AGNES SOREL,,0,37460,GENILLE,37111,FRANCE
DESCARTES BALESMES AP,AGENCE POSTALE,5 PLACE PIERRE BEREGOVOY,,0,37160,DESCARTES,37115,FRANCE
ARTANNES SUR INDRE BP,BUREAU DE POSTE,4 PLACE DES TILLEULS,,0,37260,ARTANNES SUR INDRE,37006,FRANCE
AZAY LE RIDEAU BP,BUREAU DE POSTE,10 PLACE DE LA REPUBLIQUE,,0,37190,AZAY LE RIDEAU,37014,FRANCE
CORMERY AP,AGENCE POSTALE,2 BIS  RUE DE L ABBAYE,,0,37320,CORMERY,37083,FRANCE
DOLUS LE SEC AP,AGENCE POSTALE,11 BIS RUE AGNES SOREL,,0,37310,DOLUS LE SEC,37097,FRANCE
DRACHE AP,AGENCE POSTALE,17 RUE DE LA MAIRIE,,0,37800,DRACHE,37098,FRANCE
DRUYE AP,AGENCE POSTALE,7 RUE DES FONCHERS,,0,37190,DRUYE,37099,FRANCE
ESVRES BP,BUREAU DE POSTE,PLACE JOSEPH BOURREAU,,0,37320,ESVRES,37104,FRANCE
LOUANS AP,AGENCE POSTALE,2 PLACE DU 11 NOVEMBRE,MAIRIE,0,37320,LOUANS,37134,FRANCE
LE LOUROUX AP,AGENCE POSTALE,RUE NATIONALE,,0,37240,LE LOUROUX,37136,FRANCE
MAILLE AP,AGENCE POSTALE,2 TER RUE DU 25 AOUT,,0,37800,MAILLE,37142,FRANCE
MANTHELAN AP,AGENCE POSTALE,44 RUE NATIONALE,,0,37240,MANTHELAN,37143,FRANCE
MARCILLY SUR VIENNE AP,AGENCE POSTALE,25 RUE PRINCIPALE,AGENCE POSTALE  COMMUNALE,0,37800,MARCILLY SUR VIENNE,37147,FRANCE
MONTS,BUREAU CENTRE,59 RUE DU VAL DE L INDRE,,0,37260,MONTS,37159,FRANCE
NOUATRE BP,BUREAU DE POSTE,RUE LOUIS BAILLY,,0,37800,NOUATRE,37174,FRANCE
PONT DE RUAN AP,AGENCE POSTALE,5 RUE SAINT BRICE,,0,37260,PONT DE RUAN,37186,FRANCE
POUZAY BP,BUREAU DE POSTE,23 RUE DES ECOLES,,0,37800,POUZAY,37188,FRANCE
RILLY SUR VIENNE AP,AGENCE POSTALE,3 PLACE DE LA MAIRIE,MAIRIE,0,37220,RILLY SUR VIENNE,37199,FRANCE
RIVARENNES AP,AGENCE POSTALE,6 RUE DE LA MAIRIE,,0,37190,RIVARENNES,37200,FRANCE
SACHE AP,AGENCE POSTALE,PLACE ALEXANDRE CALDER,,0,37190,SACHE,37205,FRANCE
SAINT EPAIN AP,AGENCE POSTALE,27 GRANDE RUE,,0,37800,ST EPAIN,37216,FRANCE
SAINTE MAURE DE TOURAINE BP,BUREAU DE POSTE,36 PLACE DU MARECHAL LECLERC,,0,37800,STE MAURE DE TOURAINE,37226,FRANCE
SEPMES AP,AGENCE POSTALE,PLACE DE L EGLISE,,0,37800,SEPMES,37247,FRANCE
TAUXIGNY AP,AGENCE POSTALE,2 PLACE DE LA MAIRIE,,TAUXIGNY,37310,TAUXIGNY ST BAULD,37254,FRANCE
THILOUZE AP,AGENCE POSTALE,8 PLACE DE LA MAIRIE,,0,37260,THILOUZE,37257,FRANCE
TRUYES AP,AGENCE POSTALE,28 RUE DU CLOCHER,,0,37320,TRUYES,37263,FRANCE
VEIGNE BP,BUREAU DE POSTE,3 RUE DU LAVOIR,,0,37250,VEIGNE,37266,FRANCE
VILLAINES LES ROCHERS AP,AGENCE POSTALE,PLACE DE LA MAIRIE,,0,37190,VILLAINES LES ROCHERS,37271,FRANCE
VILLEPERDUE AP,AGENCE POSTALE,10 RUE DE LA MAIRIE,10 rue de la mairie,0,37260,VILLEPERDUE,37278,FRANCE
SAINT BRANCHS AP,AGENCE POSTALE,40 RUE DU COMMERCE,,0,37320,ST BRANCHS,37211,FRANCE
CHEDIGNY APC AP,AGENCE POSTALE,4 PLACE DE LA MAIRIE,,0,37310,CHEDIGNY,37066,FRANCE
CHAMBRAY LES TOURS BP,BUREAU DE POSTE,1 ALLEE DE LA PETITE BRANCHOIRE,,0,37173,CHAMBRAY LES TOURS CEDEX,37050,FRANCE
SAINT AVERTIN BP,BUREAU DE POSTE,31 BOULEVARD PAUL DOUMER,,0,37550,ST AVERTIN,37208,FRANCE
TOURS VALLEE DU CHER,BUREAU CENTRE,28 RUE LINE PORCHER,,0,37700,ST PIERRE DES CORPS,37233,FRANCE
LA VILLE AUX DAMES BP,BUREAU DE POSTE,124 BIS AVENUE JEANNE D ARC,,0,37700,LA VILLE AUX DAMES,37273,FRANCE
TOURS MONTJOYEUX AP,AGENCE POSTALE,ALLEE BAUCHANT,CENTRE COMMERCIAL MONTJOYEUX,0,37200,TOURS,37261,FRANCE
TOURS BERGEONNERIE AP,AGENCE POSTALE,7 ALLEE JEAN DE LA BRUYERE,CENTRE COMMERCIAL LA BERGEONNERIE,0,37200,TOURS,37261,FRANCE
TOURS FONTAINES BP,BUREAU DE POSTE,18 CENTRE COMMERCIAL STENDHAL,18,BP 445,37204,TOURS CEDEX 3,37261,FRANCE
TOURS BERANGER,BUREAU CENTRE,1 BOULEVARD BERANGER,,0,37000,TOURS,37261,FRANCE
TOURS HALLES CENTRALES BP,BUREAU DE POSTE,67 RUE DE LA VICTOIRE,,0,37058,TOURS CEDEX 1,37261,FRANCE
TOURS RABELAIS BP,BUREAU DE POSTE,108 RUE GIRAUDEAU,,BP 3327,37033,TOURS CEDEX 1,37261,FRANCE
TOURS DEUX LIONS BP,BUREAU DE POSTE,25 RUE GERMAINE TAILLEFERRE,,0,37200,TOURS,37261,FRANCE
TOURS GRAMMONT,BUREAU CENTRE,150 AVENUE DE GRAMMONT,,0,37028,TOURS CEDEX 1,37261,FRANCE
SAINT CYR SUR LOIRE BP,BUREAU DE POSTE,PLACE GUY RAYNAUD,,0,37540,ST CYR SUR LOIRE,37214,FRANCE
TOURS RIVE DROITE,BUREAU CENTRE,12 PLACE DU PRESIDENT COTY,,BP 7459,37074,TOURS CEDEX 2,37261,FRANCE
TOURS CHATEAUBRIAND BP,BUREAU DE POSTE,34 AVENUE DE L EUROPE,,0,37081,TOURS CEDEX 2,37261,FRANCE
CHAON AP,AGENCE POSTALE,2 RUE DE L ECU,,0,41600,CHAON,41036,FRANCE
DHUIZON AP,AGENCE POSTALE,1 PLACE SAINT PIERRE,,0,41220,DHUIZON,41074,FRANCE
LA FERTE ST CYR BP,BUREAU DE POSTE,1 PLACE ALFRED MENARD,,0,41220,LA FERTE ST CYR,41085,FRANCE
LAMOTTE BEUVRON BP,BUREAU DE POSTE,10 RUE DE LA POSTE,,0,41600,LAMOTTE BEUVRON,41106,FRANCE
LA MAROLLE EN SOLOGNE AP,AGENCE POSTALE,14 RUE DES ECOLES,,0,41210,LA MAROLLE EN SOLOGNE,41127,FRANCE
MER,BUREAU CENTRE,36 AVENUE DU 8 MAI,,0,41500,MER,41136,FRANCE
MONTRIEUX EN SOLOGNE AP,AGENCE POSTALE,2 PLACE EMILE DUBONNET,,0,41210,MONTRIEUX EN SOLOGNE,41152,FRANCE
NOUAN LE FUZELIER BP,BUREAU DE POSTE,28 AVENUE DE PARIS,,0,41600,NOUAN LE FUZELIER,41161,FRANCE
PIERREFITTE SUR SAULDRE AP,AGENCE POSTALE,10 PLACE DE L EGLISE,,PIERREFITE SUR SAULDRE,41300,PIERREFITTE SUR SAULDRE,41176,FRANCE
SAINT LAURENT DES EAUX BP,BUREAU DE POSTE,4 RUE DES MEES,,0,41220,ST LAURENT NOUAN,41220,FRANCE
SAINT VIATRE AP,AGENCE POSTALE,20 RUE DE LA PAIX,,0,41210,ST VIATRE,41231,FRANCE
SERIS AP,AGENCE POSTALE,3 RUE DU BOUT HALLE,,0,41500,SERIS,41245,FRANCE
SOUVIGNY EN SOLOGNE AP,AGENCE POSTALE,1 RUE EUGENE LABICHE,,0,41600,SOUVIGNY EN SOLOGNE,41251,FRANCE
CHATEAUVIEUX AP,AGENCE POSTALE,1 RUE DES DEPORTES DU 2 MAI 1944,,0,41110,CHATEAUVIEUX,41042,FRANCE
CHEMERY AP,AGENCE POSTALE,59 RUE NATIONALE,PLACE JEAN MOULIN,0,41700,CHEMERY,41049,FRANCE
COUFFY AP,AGENCE POSTALE,7 ROUTE DE SAINT AIGNAN,,0,41110,COUFFY,41063,FRANCE
MESLAND AP,AGENCE POSTALE,13 RUE DE LA POSTE,,0,41150,MESLAND,41137,FRANCE
MONTEAUX AP,AGENCE POSTALE,2 RUE SAINT DENIS,,0,41150,MONTEAUX,41144,FRANCE
MONTRICHARD,BUREAU CENTRE,58 RUE DE TOURS,,MONTRICHARD,41406,MONTRICHARD CEDEX,41151,FRANCE
ONZAIN BP,BUREAU DE POSTE,9 GRANDE RUE,,ONZAIN,41150,VEUZAIN SUR LOIRE,41167,FRANCE
PONTLEVOY BP,BUREAU DE POSTE,1 PLACE DE VERDUN,,0,41400,PONTLEVOY,41180,FRANCE
POUILLE AP,AGENCE POSTALE,14 RUE DE LA LIBERTE,MAIRIE,0,41110,POUILLE,41181,FRANCE
SAINT AIGNAN BP,BUREAU DE POSTE,47 RUE CONSTANT RAGOT,,0,41110,ST AIGNAN,41198,FRANCE
MAREUIL SUR CHER AP,AGENCE POSTALE,2 PLACE DE L EGLISE,,0,41110,MAREUIL SUR CHER,41126,FRANCE
SAINT GEORGES SUR CHER BP,BUREAU DE POSTE,14 RUE MARCEL BISAULT,,0,41400,ST GEORGES SUR CHER,41211,FRANCE
CHATILLON SUR CHER AP,AGENCE POSTALE,2 RUE DE LA MAIRIE,,0,41130,CHATILLON SUR CHER,41043,FRANCE
SAINT ROMAIN SUR CHER AP,AGENCE POSTALE,42 RUE PRINCIPALE,,0,41140,ST ROMAIN SUR CHER,41229,FRANCE
NOYERS SUR CHER AP,AGENCE POSTALE,52 BIS RUE NATIONALE,,0,41140,NOYERS SUR CHER,41164,FRANCE
SELLES SUR CHER BP,BUREAU DE POSTE,2 IMPASSE DE LA POSTE,,0,41130,SELLES SUR CHER,41242,FRANCE
THENAY AP,AGENCE POSTALE,PLACE EGLISE NOTRE DAME,N 20,THENAY,41400,LE CONTROIS EN SOLOGNE,41059,FRANCE
CHATRES SUR CHER AP,AGENCE POSTALE,PLACE DE L EGLISE,,0,41320,CHATRES SUR CHER,41044,FRANCE
COURMEMIN AP,AGENCE POSTALE,7 RUE FRANCOIS 1ER,MAIRIE,0,41230,COURMEMIN,41068,FRANCE
GY EN SOLOGNE AP,AGENCE POSTALE,LE BOURG,,0,41230,GY EN SOLOGNE,41099,FRANCE
MARCILLY EN GAULT AP,AGENCE POSTALE,3 ROUTE DE MILLANCAY,,0,41210,MARCILLY EN GAULT,41125,FRANCE
MENNETOU SUR CHER BP,BUREAU DE POSTE,18 RUE PIERRE LOYAU,,0,41320,MENNETOU SUR CHER,41135,FRANCE
MILLANCAY AP,AGENCE POSTALE,7 RUE DES CARNUTES,MAIRIE,0,41200,MILLANCAY,41140,FRANCE
MUR DE SOLOGNE BP,BUREAU DE POSTE,2 PLACE DE LA POSTE,,0,41230,MUR DE SOLOGNE,41157,FRANCE
NEUNG SUR BEUVRON BP,BUREAU DE POSTE,3 RUE DES ANGES,,0,41210,NEUNG SUR BEUVRON,41159,FRANCE
PRUNIERS EN SOLOGNE BP,BUREAU DE POSTE,PLACE DES ANCIENS COMBATTANTS,,0,41200,PRUNIERS EN SOLOGNE,41185,FRANCE
ROMORANTIN LANTHENAY,BUREAU CENTRE,4 B RUE DE LA TOUR,,0,41206,ROMORANTIN LANTHENAY CEDEX,41194,FRANCE
VILLEFRANCHE SUR CHER AP,AGENCE POSTALE,7 RUE EMILE FILLOUX,,0,41200,VILLEFRANCHE SUR CHER,41280,FRANCE
SALBRIS BP,BUREAU DE POSTE,37 RUE DU GENERAL GIRAUD,,0,41300,SALBRIS,41232,FRANCE
SELLES SAINT DENIS AP,AGENCE POSTALE,16 PLACE DU MAIL,,0,41300,SELLES ST DENIS,41241,FRANCE
SOUESMES BP,BUREAU DE POSTE,3 RUE DES SEIGNEURS,,0,41300,SOUESMES,41249,FRANCE
THEILLAY AP,AGENCE POSTALE,1 ROUTE DE CHATRES,,0,41300,THEILLAY,41256,FRANCE
VERNOU EN SOLOGNE AP,AGENCE POSTALE,5 PLACE DE L EGLISE,,0,41230,VERNOU EN SOLOGNE,41271,FRANCE
ARTINS AP,AGENCE POSTALE,6 RUE DU PLAT D ETAIN,,0,41800,ARTINS,41004,FRANCE
AUTAINVILLE AP,AGENCE POSTALE,3 RUE DE LA MAIRIE,MAIRIE,0,41240,AUTAINVILLE,41006,FRANCE
CHAUVIGNY DU PERCHE AP,AGENCE POSTALE,19 RUE DU PERCHE,,0,41270,CHAUVIGNY DU PERCHE,41048,FRANCE
VERDES AP,AGENCE POSTALE,7 RUE DE LA MOTTE,MAIRIE,VERDES,41240,BEAUCE LA ROMAINE,41173,FRANCE
COUTURE SUR LOIR AP,AGENCE POSTALE,15 PLACE DE L EGLISE,,COUTURE SUR LOIR,41800,VALLEE DE RONSARD,41070,FRANCE
DANZE AP,AGENCE POSTALE,PLACE DE L EGLISE,,0,41160,DANZE,41073,FRANCE
DROUE BP,BUREAU DE POSTE,25 RUE SAINT NICOLAS,,0,41270,DROUE,41075,FRANCE
EPUISAY AP,AGENCE POSTALE,4 RUE DES BLEUETS,,0,41360,EPUISAY,41078,FRANCE
LE GAULT DU PERCHE AP,AGENCE POSTALE,18 GRANDE RUE,,0,41270,LE GAULT DU PERCHE,41096,FRANCE
MOISY AP,AGENCE POSTALE,PLACE DE L EGLISE,,0,41160,MOISY,41141,FRANCE
MONDOUBLEAU BP,BUREAU DE POSTE,7 PLACE SAINT DENIS,,0,41170,MONDOUBLEAU,41143,FRANCE
MONTOIRE SUR LE LOIR BP,BUREAU DE POSTE,PLACE DU MARECHAL FOCH,,0,41800,MONTOIRE SUR LE LOIR,41149,FRANCE
MOREE BP,BUREAU DE POSTE,4 RUE GEORGES DOMENGIE,,0,41160,MOREE,41154,FRANCE
PRUNAY CASSEREAU AP,AGENCE POSTALE,9 RUE DE L HOTEL DE VILLE,,0,41310,PRUNAY CASSEREAU,41184,FRANCE
SAINT AGIL AP,AGENCE POSTALE,PLACE DE LA POSTE,,ST AGIL,41170,COUETRON AU PERCHE,41248,FRANCE
SAINT AMAND LONGPRE BP,BUREAU DE POSTE,8 RUE JULES FERRY,,0,41310,ST AMAND LONGPRE,41199,FRANCE
SAINT MARTIN DES BOIS AP,AGENCE POSTALE,17 RUE ST GEORGES,,0,41800,ST MARTIN DES BOIS,41225,FRANCE
SAINT - OUEN BP,BUREAU DE POSTE,19 RUE AUGUSTE COMTE,,0,41100,ST OUEN,41226,FRANCE
AUTHON AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,41310,AUTHON,41007,FRANCE
SARGE SUR BRAYE AP,AGENCE POSTALE,18 RUE ROGER REBOUSSIN,AU BOURG,0,41170,SARGE SUR BRAYE,41235,FRANCE
SAVIGNY SUR BRAYE BP,BUREAU DE POSTE,2 AVENUE DE LA BRAYE,,0,41360,SAVIGNY SUR BRAYE,41238,FRANCE
SELOMMES AP,AGENCE POSTALE,PLACE DE LA MAIRIE,,0,41100,SELOMMES,41243,FRANCE
SOUGE AP,AGENCE POSTALE,2 IMPASSE DE L EGLISE,,0,41800,SOUGE,41250,FRANCE
THORE LA ROCHETTE BP,BUREAU DE POSTE,46 RUE DU MARECHAL ROCHAMBEAU,,0,41100,THORE LA ROCHETTE,41259,FRANCE
TROO AP,AGENCE POSTALE,39 RUE AUGUSTE ARNAULT,,0,41800,TROO,41265,FRANCE
VENDOME,BUREAU CENTRE,47 RUE DU CHANGE,,0,41106,VENDOME CEDEX,41269,FRANCE
LA VILLE AUX CLERCS BP,BUREAU DE POSTE,6 RUE DU VIEUX MOULIN,,0,41160,LA VILLE AUX CLERCS,41275,FRANCE
VILLECHAUVE AP,AGENCE POSTALE,1 PLACE LOUIS SURGE,,0,41310,VILLECHAUVE,41278,FRANCE
VILLIERS SUR LOIR BP,BUREAU DE POSTE,18 RUE DU 11 NOVEMBRE 1918,,0,41100,VILLIERS SUR LOIR,41294,FRANCE
VENDOME LES ROTTES BP,BUREAU DE POSTE,AVENUE JEAN MOULIN,,0,41106,VENDOME CEDEX,41269,FRANCE
CELLETTES BP,BUREAU DE POSTE,11 RUE DE L EGLISE,,0,41120,CELLETTES,41031,FRANCE
CHAILLES AP,AGENCE POSTALE,89 RUE NATIONALE,,0,41120,CHAILLES,41032,FRANCE
CHITENAY AP,AGENCE POSTALE,17 RUE DU MAIL,,0,41120,CHITENAY,41052,FRANCE
CONTRES BP,BUREAU DE POSTE,1 PLACE ADOLPHE JAVALET,,CONTRES,41700,LE CONTROIS EN SOLOGNE,41059,FRANCE
CORMERAY AP,AGENCE POSTALE,23 RUE DE LA REPUBLIQUE,,0,41120,CORMERAY,41061,FRANCE
FOUGERES SUR BIEVRE AP,AGENCE POSTALE,12 RUE HENRI GOYER,,FOUGERES SUR BIEVRE,41120,LE CONTROIS EN SOLOGNE,41059,FRANCE
HUISSEAU SUR COSSON BP,BUREAU DE POSTE,255 ROUTE DE CHAMBORD,,0,41350,HUISSEAU SUR COSSON,41104,FRANCE
MONT PRES CHAMBORD BP,BUREAU DE POSTE,12 GRAND PLACE,,0,41250,MONT PRES CHAMBORD,41150,FRANCE
OUCHAMPS AP,AGENCE POSTALE,22 RUE VICTOR DRUGEON,,OUCHAMPS,41120,LE CONTROIS EN SOLOGNE,41059,FRANCE
SAINT CLAUDE DE DIRAY BP,BUREAU DE POSTE,1 PLACE DES MANGOTTES,,0,41350,ST CLAUDE DE DIRAY,41204,FRANCE
SAINT GERVAIS LA FORET BP,BUREAU DE POSTE,12 RUE GERARD DUBOIS,,0,41350,ST GERVAIS LA FORET,41212,FRANCE
BRACIEUX AP,AGENCE POSTALE,2 PLACE DU CHAMP DE FOIRE,,0,41250,BRACIEUX,41025,FRANCE
VINEUIL,BUREAU CENTRE,15 RUE DES ECOLES,LA POSTE GRAND PUBLIC,BP 50016,41350,VINEUIL,41295,FRANCE
BLOIS MICHEL BEGON BP,BUREAU DE POSTE,113 RUE MICHEL BEGON,,0,41029,BLOIS CEDEX,41018,FRANCE
LA CHAPELLE VENDOMOISE AP,AGENCE POSTALE,1 RUE DE BLOIS,,0,41330,LA CHAPELLE VENDOMOISE,41040,FRANCE
LA CHAUSSEE ST VICTOR BP,BUREAU DE POSTE,50 RUE DE LA POSTE,,0,41260,LA CHAUSSEE ST VICTOR,41047,FRANCE
CHOUZY SUR CISSE BP,BUREAU DE POSTE,16 PLACE DE LA MAIRIE,,CHOUZY SUR CISSE,41150,VALLOIRE SUR CISSE,41055,FRANCE
FOSSE BP,BUREAU DE POSTE,2 RUE DE SAINT SULPICE,,0,41330,FOSSE,41091,FRANCE
HERBAULT BP,BUREAU DE POSTE,6 RUE DU BAILLI,,0,41190,HERBAULT,41101,FRANCE
LANDES LE GAULOIS AP,AGENCE POSTALE,12 RUE DES ECOLES,,0,41190,LANDES LE GAULOIS,41109,FRANCE
MARCHENOIR BP,BUREAU DE POSTE,RUE DU GRAND GOUGEAT,,0,41370,MARCHENOIR,41123,FRANCE
MOLINEUF AP,AGENCE POSTALE,8 PLACE DU 11 NOVEMBRE,MAIRIE,MOLINEUF,41190,VALENCISSE,41142,FRANCE
ORCHAISE AP,AGENCE POSTALE,3 BIS ROUTE D HERBAULT,,ORCHAISE,41190,VALENCISSE,41142,FRANCE
OUCQUES BP,BUREAU DE POSTE,2 PLACE DU CHATEAU,,OUCQUES,41290,OUCQUES LA NOUVELLE,41171,FRANCE
OUZOUER LE MARCHE BP,BUREAU DE POSTE,PLACE DE L EGLISE,,OUZOUER LE MARCHE,41240,BEAUCE LA ROMAINE,41173,FRANCE
SAINT CYR DU GAULT AP,AGENCE POSTALE,PLACE DE L EGLISE,,0,41190,ST CYR DU GAULT,41205,FRANCE
SAINT DYE SUR LOIRE AP,AGENCE POSTALE,75 RUE NATIONALE,mairie,0,41500,ST DYE SUR LOIRE,41207,FRANCE
SAINT LUBIN EN VERGONNOIS AP,AGENCE POSTALE,4 PLACE DU CAQUETOIRE,,0,41190,ST LUBIN EN VERGONNOIS,41223,FRANCE
SUEVRES AP,AGENCE POSTALE,1 RUE JEAN DES JOYEAUX,,0,41500,SUEVRES,41252,FRANCE
VILLEBAROU AP,AGENCE POSTALE,9 RUE MAURICE PASQUIER,,0,41000,VILLEBAROU,41276,FRANCE
BLOIS LA QUINIERE BP,BUREAU DE POSTE,3 RUE DE CHATEAUBRIAND,,0,41009,BLOIS CEDEX,41018,FRANCE
COEUR DE BLOIS,BUREAU CENTRE,RUE GALLOIS,,0,41012,BLOIS CEDEX,41018,FRANCE
CHATEAUNEUF SUR LOIRE,BUREAU CENTRE,5 BIS PLACE  ARISTIDE BRIAND,,0,45110,CHATEAUNEUF SUR LOIRE,45082,FRANCE
FLEURY LES AUBRAIS PRINCIPAL,BUREAU CENTRE,PLACE ABBE PASTY,,0,45403,FLEURY LES AUBRAIS CEDEX,45147,FRANCE
SARAN BP,BUREAU DE POSTE,138 RUE DU BOURG,LA BERTINERIE,0,45770,SARAN,45302,FRANCE
SEMOY BP,BUREAU DE POSTE,28 PLACE FRANCOIS MITTERRAND,,0,45400,SEMOY,45308,FRANCE
BEAULIEU AP,AGENCE POSTALE,10 PLACE DE L EGLISE,,0,45630,BEAULIEU SUR LOIRE,45029,FRANCE
BONNY SUR LOIRE BP,BUREAU DE POSTE,1 PLACE BEAUPIN LAGIER,,0,45420,BONNY SUR LOIRE,45040,FRANCE
BRIARE BP,BUREAU DE POSTE,PLACE DE LA REPUBLIQUE,,0,45250,BRIARE,45053,FRANCE
LA BUSSIERE AP,AGENCE POSTALE,11 RUE DU CHATEAU,,0,45230,LA BUSSIERE,45060,FRANCE
LES CHOUX AP,AGENCE POSTALE,1 RUE DE LA POSTE,,0,45290,LES CHOUX,45096,FRANCE
GIEN,BUREAU CENTRE,32 QUAI LENOIR,,0,45500,GIEN,45155,FRANCE
OUSSON SUR LOIRE AP,AGENCE POSTALE,7 RUE DU 14 JUILLET,,0,45250,OUSSON SUR LOIRE,45238,FRANCE
OUZOUER SUR TREZEE AP,AGENCE POSTALE,1 RUE GRANDE,,0,45250,OUZOUER SUR TREZEE,45245,FRANCE
POILLY LEZ GIEN AP,AGENCE POSTALE,24 RUE DE SULLY,,0,45500,POILLY LEZ GIEN,45254,FRANCE
CHATILLON SUR LOIRE AP,AGENCE POSTALE,47 RUE FRANCHE,,0,45360,CHATILLON SUR LOIRE,45087,FRANCE
AMILLY BP,BUREAU DE POSTE,135 RUE DE LA MAIRIE,,0,45200,AMILLY,45004,FRANCE
BELLEGARDE DU LOIRET BP,BUREAU DE POSTE,PLACE JULES FERRY,,0,45270,BELLEGARDE,45031,FRANCE
CEPOY AP,AGENCE POSTALE,11 AVENUE DU CHATEAU,,0,45120,CEPOY,45061,FRANCE
CHALETTE SUR LOING PRINCIPAL BP,BUREAU DE POSTE,25 AVENUE JEAN JAURES,,0,45120,CHALETTE SUR LOING,45068,FRANCE
CHATEAU RENARD BP,BUREAU DE POSTE,PLACE DU CHATEAU,,0,45220,CHATEAU RENARD,45083,FRANCE
CHATILLON COLIGNY BP,BUREAU DE POSTE,PLACE COLIGNY,,0,45230,CHATILLON COLIGNY,45085,FRANCE
CORBEILLES BP,BUREAU DE POSTE,5 RUE DE LA LIBERATION,,0,45490,CORBEILLES,45103,FRANCE
COURTENAY BP,BUREAU DE POSTE,44 PLACE ARMAND CHESNEAU,,0,45320,COURTENAY,45115,FRANCE
DAMMARIE SUR LOING AP,AGENCE POSTALE,11 RUE DE ROGNY,,0,45230,DAMMARIE SUR LOING,45121,FRANCE
DORDIVES BP,BUREAU DE POSTE,32 RUE DE L EGLISE,,0,45680,DORDIVES,45127,FRANCE
DOUCHY AP,AGENCE POSTALE,13 RUE DE BOURGOGNE,,DOUCHY,45220,DOUCHY MONTCORBON,45129,FRANCE
CHEVILLON SUR HUILLARD AP,AGENCE POSTALE,2 ROUTE DE VIMORY,,0,45700,CHEVILLON SUR HUILLARD,45092,FRANCE
LADON AP,AGENCE POSTALE,70 PLACE DE LA HALLE,,0,45270,LADON,45178,FRANCE
LORRIS BP,BUREAU DE POSTE,ROUTE DE LA FORET,,0,45260,LORRIS,45187,FRANCE
MONTARGIS RIVES DU LOING,BUREAU CENTRE,PLACE DU 18 JUIN 1940,,0,45207,MONTARGIS CEDEX,45208,FRANCE
MONTCRESSON AP,AGENCE POSTALE,RUE DE VERDUN,,0,45700,MONTCRESSON,45212,FRANCE
NOGENT SUR VERNISSON BP,BUREAU DE POSTE,PLACE DE LA REPUBLIQUE,,0,45290,NOGENT SUR VERNISSON,45229,FRANCE
PANNES AP,AGENCE POSTALE,250 RUE MARCEL DONETTE,,0,45700,PANNES,45247,FRANCE
ST MAURICE SUR AVEYRON AP,AGENCE POSTALE,42  RUE DU DOCTEUR  CHARPENTIER,,0,45230,ST MAURICE SUR AVEYRON,45292,FRANCE
SAINT MAURICE FESSARD AP,AGENCE POSTALE,11 RUE DE L HUILLERIE,,LIEU DIT FESSARD,45700,ST MAURICE SUR FESSARD,45293,FRANCE
SCEAUX DU GATINAIS AP,AGENCE POSTALE,1 RUE DU PONT,,0,45490,SCEAUX DU GATINAIS,45303,FRANCE
LA SELLE SUR LE BIED AP,AGENCE POSTALE,12 PLACE DE L ILE DE FRANCE,,0,45210,LA SELLE SUR LE BIED,45307,FRANCE
SOLTERRE AP,AGENCE POSTALE,46 RN 7,,LA COMMODITE,45700,SOLTERRE,45312,FRANCE
TRIGUERES AP,AGENCE POSTALE,16 AVENUE DE LA GARE,,0,45220,TRIGUERES,45329,FRANCE
VARENNES CHANGY AP,AGENCE POSTALE,10 RUE DE NOGENT,10 RUE DE NOGENT,0,45290,VARENNES CHANGY,45332,FRANCE
VILLEMANDEUR BP,BUREAU DE POSTE,26 RUE NICEPHORE NIEPCE,,0,45700,VILLEMANDEUR,45338,FRANCE
FERRIERES EN GATINAIS AP,AGENCE POSTALE,13 RUE DU LION D OR,,0,45210,FERRIERES EN GATINAIS,45145,FRANCE
CHALETTE VESINES BP,BUREAU DE POSTE,5 RUE GAY LUSSAC,,0,45120,CHALETTE SUR LOING,45068,FRANCE
MONTARGIS LA CHAUSSEE BP,BUREAU DE POSTE,CENTRE COMMERCIAL DE LA CHAUSSEE,,0,45205,MONTARGIS CEDEX,45208,FRANCE
BEAUGENCY BP,BUREAU DE POSTE,15 RUE DES CHEVALIERS,,0,45190,BEAUGENCY,45028,FRANCE
