Libellé du site,Caractéristique du site,Adresse,Complément d'adresse,Lieu dit,Code Postal,Localité,Code INSEE de la commune,Pays
SAINT LAURENT DU CROS AP,AGENCE POSTALE,LE VILLAGE,,0,05500,ST LAURENT DU CROS,05148,FRANCE
SAINT MICHEL DE CHAILLOL AP,AGENCE POSTALE,68 PLACE DE LA MAIRIE,MAIRIE,0,05260,ST MICHEL DE CHAILLOL,05153,FRANCE
LA SAULCE BP,BUREAU DE POSTE,LE BOURG,,0,05110,LA SAULCE,05162,FRANCE
SIGOYER BP,BUREAU DE POSTE,2 PLACE DE L EGLISE,,0,05130,SIGOYER,05168,FRANCE
TALLARD BP,BUREAU DE POSTE,1 RUE CHEVALERIE,,0,05130,TALLARD,05170,FRANCE
VALSERRES AP,AGENCE POSTALE,LE VILLAGE,69 A Rue Grand rue,0,05130,VALSERRES,05176,FRANCE
VEYNES BP,BUREAU DE POSTE,1 AVENUE DU 8 MAI 1945,,0,05400,VEYNES,05179,FRANCE
ORCIERES MERLETTE AP,AGENCE POSTALE,RUE DES ECRINS,MAISON DU TOURISME,MERLETTE,05170,ORCIERES,05096,FRANCE
SUPER DEVOLUY AP,AGENCE POSTALE,14 ROUTE DU PUY,LA MAISON DU DEVOLUY,ST ETIENNE EN DEVOLUY,05250,LE DEVOLUY,05139,FRANCE
LA BEAUME AP,AGENCE POSTALE,LE VILLAGE,,0,05140,LA BEAUME,05019,FRANCE
LA FAURIE AP,AGENCE POSTALE,296 ROUTE DE GRENOBLE,,0,05140,LA FAURIE,05055,FRANCE
BARRET SUR MEOUGE AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,05300,BARRET SUR MEOUGE,05014,FRANCE
CHATEAUNEUF DE CHABRE AP,AGENCE POSTALE,37 CHEMIN DE L AUBERGE,,CHATEAUNEUF DE CHABRE,05300,VAL BUECH MEOUGE,05118,FRANCE
L EPINE AP,AGENCE POSTALE,94 MONTEE DE LA REMISE,,0,05700,L EPINE,05048,FRANCE
EYGUIANS BP,BUREAU DE POSTE,AVENUE LEON TRINQUIER,,EYGUIANS,05300,GARDE COLOMBE,05053,FRANCE
LARAGNE MONTEGLIN,BUREAU CENTRE,AVENUE DE LA GARE,,0,05300,LARAGNE MONTEGLIN,05070,FRANCE
MONETIER ALLEMONT AP,AGENCE POSTALE,3 PLACE DE LA MAIRIE,,0,05110,MONETIER ALLEMONT,05078,FRANCE
ORPIERRE AP,AGENCE POSTALE,6 PLACE DES AIRES,,0,05700,ORPIERRE,05097,FRANCE
MONTMORIN AP,AGENCE POSTALE,LE VILLAGE,CENTRE DE RESSOURCES NUMERIQUES,MONTMORIN,05150,VALDOULE,05024,FRANCE
RIBIERS VAL BUECH MEOUGE AP,AGENCE POSTALE,15 GRAND RUE,,RIBIERS,05300,VAL BUECH MEOUGE,05118,FRANCE
LE POET LPAC AP,AGENCE POSTALE,22 ROUTE NAPOLEON,MAIRIE,0,05300,LE POET,05103,FRANCE
ROSANS BP,BUREAU DE POSTE,89 PLACE DE L ABBE BICAIS,,0,05150,ROSANS,05126,FRANCE
SERRES BP,BUREAU DE POSTE,RUE VARANFRAIN,,0,05700,SERRES,05166,FRANCE
TRESCLEOUX AP,AGENCE POSTALE,52 RUE DES COMMERCES,,0,05700,TRESCLEOUX,05172,FRANCE
VENTAVON AP,AGENCE POSTALE,LE VILLAGE,70 PLACE DU PRIEURE,0,05300,VENTAVON,05178,FRANCE
L ARGENTIERE LA BESSEE BP,BUREAU DE POSTE,13 RUE DE LA REPUBLIQUE,,0,05120,L ARGENTIERE LA BESSEE,05006,FRANCE
VILLARD SAINT PANCRACE AP,AGENCE POSTALE,10 RUE DE L ECOLE,MAIRIE,0,05100,VILLAR ST PANCRACE,05183,FRANCE
LA GRAVE BP,BUREAU DE POSTE,ROUTE DEPARTEMENTALE 1091,,0,05320,LA GRAVE,05063,FRANCE
PUY SAINT VINCENT 1600 AP,AGENCE POSTALE,STATION 1600,,0,05290,PUY ST VINCENT,05110,FRANCE
LE MONETIER LES BAINS BP,BUREAU DE POSTE,ROUTE DE GRENOBLE,,0,05220,LE MONETIER LES BAINS,05079,FRANCE
NEVACHE AP,AGENCE POSTALE,QUARTIER VILLE HAUTE,OFFICE DU TOURISME,0,05100,NEVACHE,05093,FRANCE
PELVOUX AP,AGENCE POSTALE,QUARTIER SAINT ANTOINE,,PELVOUX,05340,VALLOUISE PELVOUX,05101,FRANCE
VALLOUISE AP,AGENCE POSTALE,1 PLACE DE L EGLISE,,VALLOUISE,05290,VALLOUISE PELVOUX,05101,FRANCE
PUY SAINT VINCENT AP,AGENCE POSTALE,QUARTIER LES ALBERTS,,0,05290,PUY ST VINCENT,05110,FRANCE
MONTGENEVRE AP,AGENCE POSTALE,RUE DE L EGLISE,,0,05100,MONTGENEVRE,05085,FRANCE
LA ROCHE DE RAME AP,AGENCE POSTALE,LE CLOT,,0,05310,LA ROCHE DE RAME,05122,FRANCE
SAINT CHAFFREY BP,BUREAU DE POSTE,ROUTE DU PONT LEVIS,,0,05330,ST CHAFFREY,05133,FRANCE
LA SALLE LES ALPES AP,AGENCE POSTALE,15 RUE DE LA GUISANE,VILLENEUVE,0,05240,LA SALLE LES ALPES,05161,FRANCE
LES VIGNEAUX AP,AGENCE POSTALE,LE VILLAGE,LA MAIRIE,0,05120,LES VIGNEAUX,05180,FRANCE
VILLAR D ARENE AP,AGENCE POSTALE,RUE DE LA MAIRIE,,0,05480,VILLAR D ARENE,05181,FRANCE
BRIANCON SAINTE CATHERINE,BUREAU CENTRE,4 AVENUE DU 159E RIA,LE VAL CHANCEL,0,05100,BRIANCON,05023,FRANCE
ANTIBES COEUR DE VILLE,BUREAU CENTRE,3 RUE CHAMPIONNET,,0,06600,ANTIBES,06004,FRANCE
ANTIBES CROIX ROUGE BP,BUREAU DE POSTE,170 CHEMIN DES TERRIERS,,0,06600,ANTIBES,06004,FRANCE
BIOT SOPHIA ANTIPOLIS,BUREAU CENTRE,200 AVENUE ROUMANILLE,,0,06410,BIOT,06018,FRANCE
CHATEAUNEUF BP,BUREAU DE POSTE,48 ROUTE D OPIO,ZAC DE MOUSQUETTE,0,06740,CHATEAUNEUF GRASSE,06038,FRANCE
GREOLIERES AP,AGENCE POSTALE,5 RUE DE LA MAIRIE,MAIRIE,0,06620,GREOLIERES,06070,FRANCE
OPIO BP,BUREAU DE POSTE,ESPACE COMMERCIAL 1 ROND POINT,,0,06650,OPIO,06089,FRANCE
ROQUEFORT LES PINS BP,BUREAU DE POSTE,PLACE DE MOUGINS,QUARTIER DU PLAN,0,06330,ROQUEFORT LES PINS,06105,FRANCE
LE ROURET BP,BUREAU DE POSTE,61 ROUTE DE NICE,,0,06650,LE ROURET,06112,FRANCE
VALBONNE GARBEJAIRE BP,BUREAU DE POSTE,4 RUE SOUTRANE,,0,06560,VALBONNE,06152,FRANCE
VALBONNE VILLAGE BP,BUREAU DE POSTE,85 ROUTE DE GRASSE,,0,06560,VALBONNE,06152,FRANCE
